title,type,tmdb_id,movie_runtime_minutes,episodes_total,total_seasons,episode_run_time,tv_minutes_total,rating_stars
The Tour,Movie,659227.0,82.0,,,,,0.0
Fear Street Part 2: 1978,Movie,591274.0,111.0,,,,,7.19
Finding Hubby,Movie,845414.0,104.0,,,,,2.7
How I Became a Superhero,Movie,641501.0,101.0,,,,,6.092
Last Summer,Movie,812037.0,104.0,,,,,6.039
Lee Su-geun: The Sense Coach,Movie,840611.0,45.0,,,,,2.5
Lethal Love,Movie,1116982.0,10.0,,,,,0.0
Ratchet and Clank,Movie,796272.0,23.0,,,,,9.0
Back to Q82,Movie,545380.0,105.0,,,,,4.0
Home Again,Movie,427900.0,97.0,,,,,6.109
Midnight Sun,Movie,419478.0,91.0,,,,,7.812
Rock the Kasbah,Movie,253414.0,100.0,,,,,5.391
Awon Boyz,Movie,848702.0,38.0,,,,,0.0
Brick Mansions,Movie,254473.0,90.0,,,,,5.9
Clash,Movie,296694.0,0.0,,,,,2.0
Major Grom: Plague Doctor,Movie,529106.0,136.0,,,,,6.677
Mama Drama,Movie,848696.0,105.0,,,,,0.0
Tango With Me,Movie,619161.0,104.0,,,,,0.0
Therapy,Movie,522963.0,80.0,,,,,6.0
This Little Love Of Mine,Movie,806643.0,91.0,,,,,6.1
Three Thieves,Movie,796733.0,108.0,,,,,8.0
A Land Imagined,Movie,537526.0,95.0,,,,,5.982
Har Kisse Ke Hisse: Kaamyaab,Movie,598859.0,109.0,,,,,6.7
Rehmataan,Movie,880991.0,0.0,,,,,0.0
Return of the Prodigal Son,Movie,115233.0,125.0,,,,,6.3
Rise: Ini Kalilah,Movie,548001.0,102.0,,,,,7.5
Si Doel the Movie 2,Movie,599811.0,95.0,,,,,6.571
Truckbhar Swapna,Movie,589815.0,128.0,,,,,10.0
Ujala,Movie,1510232.0,0.0,,,,,0.0
Fear Street Part 1: 1994,Movie,591273.0,108.0,,,,,6.691
Haseen Dillruba,Movie,695969.0,136.0,,,,,6.8
Holiday on Mars,Movie,727246.0,93.0,,,,,3.295
RattleSnake - The Ahanna Story,Movie,800415.0,135.0,,,,,5.0
Snowpiercer,Movie,110415.0,127.0,,,,,6.908
The 8th Night,Movie,604360.0,115.0,,,,,6.128
Winchester,Movie,416234.0,100.0,,,,,5.889
6 Bullets,Movie,127521.0,115.0,,,,,6.3
Air Force One,Movie,9772.0,124.0,,,,,6.479
Audible,Movie,820492.0,39.0,,,,,6.8
Austin Powers in Goldmember,Movie,818.0,94.0,,,,,6.0
Austin Powers: International Man of Mystery,Movie,816.0,89.0,,,,,6.586
Austin Powers: The Spy Who Shagged Me,Movie,817.0,95.0,,,,,6.293
Boogie Nights,Movie,4995.0,156.0,,,,,7.628
Charlie's Angels,Movie,4327.0,98.0,,,,,5.851
Congo,Movie,10329.0,109.0,,,,,5.58
Dennis the Menace,Movie,12139.0,94.0,,,,,5.9
Dreamy Eyes,Movie,618010.0,117.0,,,,,6.7
Dynasty Warriors,Movie,525660.0,118.0,,,,,5.9
Hampstead,Movie,441728.0,102.0,,,,,6.0
Kung Fu Panda,Movie,9502.0,90.0,,,,,7.309
Kung Fu Panda 2,Movie,49444.0,91.0,,,,,7.052
Life as We Know It,Movie,38408.0,114.0,,,,,6.9
Mary Magdalene,Movie,407439.0,120.0,,,,,6.293
Memoirs of a Geisha,Movie,1904.0,146.0,,,,,7.7
Midnight Run,Movie,9013.0,126.0,,,,,7.193
Mobile Suit Gundam Hathaway,Movie,685274.0,96.0,,,,,7.3
Mortal Kombat,Movie,460465.0,110.0,,,,,7.004
Mother's Day,Movie,101669.0,112.0,,,,,6.49
No Strings Attached,Movie,41630.0,107.0,,,,,6.298
Not Another Teen Movie,Movie,11397.0,89.0,,,,,5.798
Ophelia,Movie,555035.0,17.0,,,,,5.7
Pet Sematary 2,Movie,10906.0,100.0,,,,,5.5
Red Joan,Movie,494974.0,101.0,,,,,6.647
Seven Pounds,Movie,11321.0,123.0,,,,,7.6
She's Out of My League,Movie,34016.0,104.0,,,,,6.481
Snow Day,Movie,15489.0,89.0,,,,,5.126
Star Trek,Movie,13475.0,127.0,,,,,7.427
Stuart Little,Movie,10137.0,84.0,,,,,6.067
Sword of Trust,Movie,575942.0,89.0,,,,,5.9
